ProductKey,ProductItemCode,Product Name,Sub Category,Product Category,Product Color,Product Size,Product Line,Product Model Name,Product Description,Product Status
249,FR-R92R-52,Road Frames,Components,"HL Road Frame - Red, 52",Red,1431.5,52,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
250,FR-R92R-56,Road Frames,Components,"HL Road Frame - Red, 56",Red,1263.4598,56,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,outdate
251,FR-R92R-56,Road Frames,Components,"HL Road Frame - Red, 56",Red,1301.3636,56,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,outdate
252,FR-R92R-56,Road Frames,Components,"HL Road Frame - Red, 56",Red,1431.5,56,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
253,FR-R38B-58,Road Frames,Components,"LL Road Frame - Black, 58",Black,297.6346,58,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
254,FR-R38B-58,Road Frames,Components,"LL Road Frame - Black, 58",Black,306.5636,58,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
255,FR-R38B-58,Road Frames,Components,"LL Road Frame - Black, 58",Black,337.22,58,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current
256,FR-R38B-60,Road Frames,Components,"LL Road Frame - Black, 60",Black,297.6346,60,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
257,FR-R38B-60,Road Frames,Components,"LL Road Frame - Black, 60",Black,306.5636,60,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
258,FR-R38B-60,Road Frames,Components,"LL Road Frame - Black, 60",Black,337.22,60,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current
259,FR-R38B-62,Road Frames,Components,"LL Road Frame - Black, 62",Black,297.6346,62,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
260,FR-R38B-62,Road Frames,Components,"LL Road Frame - Black, 62",Black,306.5636,62,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
261,FR-R38B-62,Road Frames,Components,"LL Road Frame - Black, 62",Black,337.22,62,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current
262,FR-R38R-44,Road Frames,Components,"LL Road Frame - Red, 44",Red,306.5636,44,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
263,FR-R38R-44,Road Frames,Components,"LL Road Frame - Red, 44",Red,337.22,44,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
264,FR-R38R-48,Road Frames,Components,"LL Road Frame - Red, 48",Red,306.5636,48,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
265,FR-R38R-48,Road Frames,Components,"LL Road Frame - Red, 48",Red,337.22,48,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
266,FR-R38R-52,Road Frames,Components,"LL Road Frame - Red, 52",Red,306.5636,52,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
267,FR-R38R-52,Road Frames,Components,"LL Road Frame - Red, 52",Red,337.22,52,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
268,FR-R38R-58,Road Frames,Components,"LL Road Frame - Red, 58",Red,306.5636,58,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
269,FR-R38R-58,Road Frames,Components,"LL Road Frame - Red, 58",Red,337.22,58,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
270,FR-R38R-60,Road Frames,Components,"LL Road Frame - Red, 60",Red,306.5636,60,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
271,FR-R38R-60,Road Frames,Components,"LL Road Frame - Red, 60",Red,337.22,60,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
272,FR-R38R-62,Road Frames,Components,"LL Road Frame - Red, 62",Red,306.5636,62,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
273,FR-R38R-62,Road Frames,Components,"LL Road Frame - Red, 62",Red,337.22,62,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
274,FR-R72R-44,Road Frames,Components,"ML Road Frame - Red, 44",Red,594.83,44,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",outdate
275,FR-R72R-48,Road Frames,Components,"ML Road Frame - Red, 48",Red,594.83,48,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",outdate
276,FR-R72R-52,Road Frames,Components,"ML Road Frame - Red, 52",Red,594.83,52,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",outdate
277,FR-R72R-58,Road Frames,Components,"ML Road Frame - Red, 58",Red,594.83,58,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",outdate
278,FR-R72R-60,Road Frames,Components,"ML Road Frame - Red, 60",Red,594.83,60,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",outdate
279,FR-R38B-44,Road Frames,Components,"LL Road Frame - Black, 44",Black,297.6346,44,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
280,FR-R38B-44,Road Frames,Components,"LL Road Frame - Black, 44",Black,306.5636,44,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
281,FR-R38B-44,Road Frames,Components,"LL Road Frame - Black, 44",Black,337.22,44,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current
282,FR-R38B-48,Road Frames,Components,"LL Road Frame - Black, 48",Black,297.6346,48,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
283,FR-R38B-48,Road Frames,Components,"LL Road Frame - Black, 48",Black,306.5636,48,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
284,FR-R38B-48,Road Frames,Components,"LL Road Frame - Black, 48",Black,337.22,48,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current
285,FR-R38B-52,Road Frames,Components,"LL Road Frame - Black, 52",Black,297.6346,52,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
286,FR-R38B-52,Road Frames,Components,"LL Road Frame - Black, 52",Black,306.5636,52,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",outdate
287,FR-R38B-52,Road Frames,Components,"LL Road Frame - Black, 52",Black,337.22,52,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current
288,FR-M94S-42,Mountain Frames,Components,"HL Mountain Frame - Silver, 42",Silver,1204.3248,42,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
289,FR-M94S-42,Mountain Frames,Components,"HL Mountain Frame - Silver, 42",Silver,1240.4545,42,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
290,FR-M94S-42,Mountain Frames,Components,"HL Mountain Frame - Silver, 42",Silver,1364.5,42,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Current
291,FR-M94S-44,Mountain Frames,Components,"HL Mountain Frame - Silver, 44",Silver,1364.5,44,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
292,FR-M94S-52,Mountain Frames,Components,"HL Mountain Frame - Silver, 48",Silver,1364.5,48,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
293,FR-M94S-46,Mountain Frames,Components,"HL Mountain Frame - Silver, 46",Silver,1204.3248,46,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
294,FR-M94S-46,Mountain Frames,Components,"HL Mountain Frame - Silver, 46",Silver,1240.4545,46,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
295,FR-M94S-46,Mountain Frames,Components,"HL Mountain Frame - Silver, 46",Silver,1364.5,46,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Current
296,FR-M94B-42,Mountain Frames,Components,"HL Mountain Frame - Black, 42",Black,1191.1739,42,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
297,FR-M94B-42,Mountain Frames,Components,"HL Mountain Frame - Black, 42",Black,1226.9091,42,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
298,FR-M94B-42,Mountain Frames,Components,"HL Mountain Frame - Black, 42",Black,1349.6,42,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Current
299,FR-M94B-44,Mountain Frames,Components,"HL Mountain Frame - Black, 44",Black,1349.6,44,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
300,FR-M94B-48,Mountain Frames,Components,"HL Mountain Frame - Black, 48",Black,1349.6,48,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
301,FR-M94B-46,Mountain Frames,Components,"HL Mountain Frame - Black, 46",Black,1191.1739,46,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
302,FR-M94B-46,Mountain Frames,Components,"HL Mountain Frame - Black, 46",Black,1226.9091,46,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
303,FR-M94B-46,Mountain Frames,Components,"HL Mountain Frame - Black, 46",Black,1349.6,46,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Current
304,FR-M94B-38,Mountain Frames,Components,"HL Mountain Frame - Black, 38",Black,1191.1739,38,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
305,FR-M94B-38,Mountain Frames,Components,"HL Mountain Frame - Black, 38",Black,1226.9091,38,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
306,FR-M94B-38,Mountain Frames,Components,"HL Mountain Frame - Black, 38",Black,1349.6,38,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Current
307,FR-M94S-38,Mountain Frames,Components,"HL Mountain Frame - Silver, 38",Silver,1204.3248,38,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
308,FR-M94S-38,Mountain Frames,Components,"HL Mountain Frame - Silver, 38",Silver,1240.4545,38,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,outdate
309,FR-M94S-38,Mountain Frames,Components,"HL Mountain Frame - Silver, 38",Silver,1364.5,38,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Current
310,BK-R93R-62,Road Bikes,Bikes,"Road-150 Red, 62",Red,3578.27,62,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",outdate
311,BK-R93R-44,Road Bikes,Bikes,"Road-150 Red, 44",Red,3578.27,44,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",outdate
312,BK-R93R-48,Road Bikes,Bikes,"Road-150 Red, 48",Red,3578.27,48,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",outdate
313,BK-R93R-52,Road Bikes,Bikes,"Road-150 Red, 52",Red,3578.27,52,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",outdate
314,BK-R93R-56,Road Bikes,Bikes,"Road-150 Red, 56",Red,3578.27,56,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",outdate
315,BK-R68R-58,Road Bikes,Bikes,"Road-450 Red, 58",Red,1457.99,58,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",outdate
316,BK-R68R-60,Road Bikes,Bikes,"Road-450 Red, 60",Red,1457.99,60,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",outdate
317,BK-R68R-44,Road Bikes,Bikes,"Road-450 Red, 44",Red,1457.99,44,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",outdate
318,BK-R68R-48,Road Bikes,Bikes,"Road-450 Red, 48",Red,1457.99,48,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",outdate
319,BK-R68R-52,Road Bikes,Bikes,"Road-450 Red, 52",Red,1457.99,52,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",outdate
320,BK-R50R-58,Road Bikes,Bikes,"Road-650 Red, 58",Red,699.0982,58,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
321,BK-R50R-58,Road Bikes,Bikes,"Road-650 Red, 58",Red,782.99,58,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
322,BK-R50R-60,Road Bikes,Bikes,"Road-650 Red, 60",Red,699.0982,60,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
323,BK-R50R-60,Road Bikes,Bikes,"Road-650 Red, 60",Red,782.99,60,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
324,BK-R50R-62,Road Bikes,Bikes,"Road-650 Red, 62",Red,699.0982,62,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
325,BK-R50R-62,Road Bikes,Bikes,"Road-650 Red, 62",Red,782.99,62,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
326,BK-R50R-44,Road Bikes,Bikes,"Road-650 Red, 44",Red,699.0982,44,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
327,BK-R50R-44,Road Bikes,Bikes,"Road-650 Red, 44",Red,782.99,44,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
328,BK-R50R-48,Road Bikes,Bikes,"Road-650 Red, 48",Red,699.0982,48,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
329,BK-R50R-48,Road Bikes,Bikes,"Road-650 Red, 48",Red,782.99,48,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
330,BK-R50R-52,Road Bikes,Bikes,"Road-650 Red, 52",Red,699.0982,52,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
331,BK-R50R-52,Road Bikes,Bikes,"Road-650 Red, 52",Red,782.99,52,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
332,BK-R50B-58,Road Bikes,Bikes,"Road-650 Black, 58",Black,699.0982,58,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
333,BK-R50B-58,Road Bikes,Bikes,"Road-650 Black, 58",Black,782.99,58,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
334,BK-R50B-60,Road Bikes,Bikes,"Road-650 Black, 60",Black,699.0982,60,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
335,BK-R50B-60,Road Bikes,Bikes,"Road-650 Black, 60",Black,782.99,60,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
336,BK-R50B-62,Road Bikes,Bikes,"Road-650 Black, 62",Black,699.0982,62,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
337,BK-R50B-62,Road Bikes,Bikes,"Road-650 Black, 62",Black,782.99,62,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
338,BK-R50B-44,Road Bikes,Bikes,"Road-650 Black, 44",Black,699.0982,44,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
339,BK-R50B-44,Road Bikes,Bikes,"Road-650 Black, 44",Black,782.99,44,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
340,BK-R50B-48,Road Bikes,Bikes,"Road-650 Black, 48",Black,699.0982,48,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
341,BK-R50B-48,Road Bikes,Bikes,"Road-650 Black, 48",Black,782.99,48,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
342,BK-R50B-52,Road Bikes,Bikes,"Road-650 Black, 52",Black,699.0982,52,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
343,BK-R50B-52,Road Bikes,Bikes,"Road-650 Black, 52",Black,782.99,52,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",outdate
344,BK-M82S-38,Mountain Bikes,Bikes,"Mountain-100 Silver, 38",Silver,3399.99,38,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",outdate
345,BK-M82S-42,Mountain Bikes,Bikes,"Mountain-100 Silver, 42",Silver,3399.99,42,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",outdate
346,BK-M82S-44,Mountain Bikes,Bikes,"Mountain-100 Silver, 44",Silver,3399.99,44,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",outdate
347,BK-M82S-48,Mountain Bikes,Bikes,"Mountain-100 Silver, 48",Silver,3399.99,48,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",outdate
348,BK-M82B-38,Mountain Bikes,Bikes,"Mountain-100 Black, 38",Black,3374.99,38,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",outdate
349,BK-M82B-42,Mountain Bikes,Bikes,"Mountain-100 Black, 42",Black,3374.99,42,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",outdate
350,BK-M82B-44,Mountain Bikes,Bikes,"Mountain-100 Black, 44",Black,3374.99,44,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",outdate
351,BK-M82B-48,Mountain Bikes,Bikes,"Mountain-100 Black, 48",Black,3374.99,48,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",outdate
352,BK-M68S-38,Mountain Bikes,Bikes,"Mountain-200 Silver, 38",Silver,2071.4196,38,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,outdate
353,BK-M68S-38,Mountain Bikes,Bikes,"Mountain-200 Silver, 38",Silver,2319.99,38,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Current
354,BK-M68S-42,Mountain Bikes,Bikes,"Mountain-200 Silver, 42",Silver,2071.4196,42,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,outdate
355,BK-M68S-42,Mountain Bikes,Bikes,"Mountain-200 Silver, 42",Silver,2319.99,42,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Current
356,BK-M68S-46,Mountain Bikes,Bikes,"Mountain-200 Silver, 46",Silver,2071.4196,46,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,outdate
357,BK-M68S-46,Mountain Bikes,Bikes,"Mountain-200 Silver, 46",Silver,2319.99,46,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Current
358,BK-M68B-38,Mountain Bikes,Bikes,"Mountain-200 Black, 38",Black,2049.0982,38,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,outdate
359,BK-M68B-38,Mountain Bikes,Bikes,"Mountain-200 Black, 38",Black,2294.99,38,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Current
360,BK-M68B-42,Mountain Bikes,Bikes,"Mountain-200 Black, 42",Black,2049.0982,42,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,outdate
361,BK-M68B-42,Mountain Bikes,Bikes,"Mountain-200 Black, 42",Black,2294.99,42,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Current
362,BK-M68B-46,Mountain Bikes,Bikes,"Mountain-200 Black, 46",Black,2049.0982,46,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,outdate
363,BK-M68B-46,Mountain Bikes,Bikes,"Mountain-200 Black, 46",Black,2294.99,46,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Current
364,BK-M47B-38,Mountain Bikes,Bikes,"Mountain-300 Black, 38",Black,1079.99,38,Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,outdate
365,BK-M47B-40,Mountain Bikes,Bikes,"Mountain-300 Black, 40",Black,1079.99,40,Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,outdate
366,BK-M47B-44,Mountain Bikes,Bikes,"Mountain-300 Black, 44",Black,1079.99,44,Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,outdate
367,BK-M47B-48,Mountain Bikes,Bikes,"Mountain-300 Black, 48",Black,1079.99,48,Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,outdate
368,BK-R89R-44,Road Bikes,Bikes,"Road-250 Red, 44",Red,2443.35,44,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",outdate
369,BK-R89R-48,Road Bikes,Bikes,"Road-250 Red, 48",Red,2443.35,48,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",outdate
370,BK-R89R-52,Road Bikes,Bikes,"Road-250 Red, 52",Red,2443.35,52,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",outdate
371,BK-R89R-58,Road Bikes,Bikes,"Road-250 Red, 58",Red,2181.5625,58,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",outdate
372,BK-R89R-58,Road Bikes,Bikes,"Road-250 Red, 58",Red,2443.35,58,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Current
